time [unix s],run ids [],trigger rate [Hz],run duration [s],data duration [s]
1631297395.147,571.0,1.03,7206.958272457123,7199.8952729702
1631304602.544,572.0,0.75,7206.771190166473,7200.237685203552
1631311809.373,573.0,0.68,7206.319841623306,7199.810997724533
1631319016.309,574.0,0.63,7206.286777496338,7199.398722887039
1631326223.17,575.0,0.51,7206.351566791534,7200.083544254303
1631333430.532,576.0,0.69,7206.746627807617,7200.936939239502
1631340638.458,577.0,0.61,7207.403672456741,7199.735342025757
1631347847.29,578.0,0.6,7208.155591726303,7200.302060127258
1631355054.178,579.0,0.56,7206.379112482071,7200.050516366959
1631362261.312,580.0,0.83,7206.549062490463,7200.143942832947
1631369468.335,581.0,1.11,7206.504416942596,7200.115746021271
1631376675.388,582.0,1.11,7206.583924293518,7200.38081240654
1631383882.127,583.0,1.11,7206.107875823975,7199.8814425468445
1631391089.607,584.0,0.77,7207.070729970932,7200.689026594162
1631398296.525,585.0,0.89,7206.495879888535,7199.914862155914
1631405503.508,586.0,0.81,7206.466678142548,7200.11580824852
1631412711.493,587.0,0.92,7207.322415351868,7199.243235349655
1631419919.132,588.0,0.77,7206.996083498001,7199.418340444565
1631427126.379,589.0,0.85,7206.870676040649,7199.956855773926
1631434333.447,590.0,1.42,7206.380532979965,7200.301124095917
1631441540.263,591.0,2.35,7206.184735059738,7198.60306096077
1631448747.449,592.0,3.45,7206.6359140872955,7200.519613027573
1631455954.281,593.0,4.09,7206.253814935684,7200.467828273773
1631463161.163,594.0,2.76,7206.380156755447,7200.629809379578
1631470368.52,595.0,1.93,7206.71603345871,7200.866418600082
1631477575.413,596.0,1.64,7206.320377111435,7200.229789495468
1631484782.473,597.0,2.17,7206.406480312347,7199.88408946991
1631491989.192,598.0,1.13,7206.119340896606,7199.854001045227
1631499230.535,601.0,1.07,7207.083492279053,7201.034908294678
1631506439.267,602.0,1.15,7208.163096666336,7200.221714258194
1631513647.387,603.0,0.96,7207.378048419952,7200.091717243195
1631520854.194,604.0,0.74,7206.4157609939575,7200.07838010788
1631528061.494,605.0,0.68,7206.693651676178,7200.563816308975
1631535268.442,606.0,0.71,7206.4252507686615,7200.4901440143585
1631542475.392,607.0,0.79,7206.307142019272,7199.628808259964
1631549683.44,608.0,0.61,7207.636391401291,7199.47107052803
1631556890.171,609.0,0.61,7206.161200761795,7195.122910022736
1631564096.324,610.0,0.59,7205.810278177261,7200.005433559418
1631571303.228,611.0,0.57,7206.40860247612,7199.950976133347
1631578510.54,612.0,0.58,7206.74217581749,7199.704741239548
1631585717.389,613.0,0.65,7206.349917173386,7199.817049980164
1631592926.605,614.0,0.72,7208.539673566818,7199.799845695496
1631600133.259,615.0,0.64,7206.262871265411,7200.211393594742
1631607340.201,616.0,0.62,7206.3668756484985,7199.660649061203
1631614547.185,617.0,0.65,7206.414564847946,7199.614308595657
1631621754.593,618.0,0.68,7206.825718402863,7198.6114802360535
1631628961.244,619.0,0.54,7206.097559452057,7200.021698236465
1631636168.189,620.0,0.66,7206.391944885254,7200.629409313202
1631643375.569,621.0,0.56,7206.803918123245,7199.960522651672
1631650582.489,622.0,0.62,7206.425286769867,7199.861897230148
1631657823.188,625.0,0.68,7206.726395606995,7199.768759012222
1631665030.571,626.0,0.6,7206.7602689266205,7198.205308675766
1631672239.173,627.0,0.57,7208.114077329636,7200.225116252899
1631679446.548,628.0,0.54,7206.790225505829,7200.157699346542
1631686653.348,629.0,0.62,7206.348276853561,7199.997880935669
1631693860.369,630.0,0.5,7206.356984138489,7196.35414981842
1631701068.325,631.0,0.62,7207.528621435165,7200.667676687241
1631708275.58,632.0,0.86,7206.826389551163,7200.279554605484
1631715482.52,633.0,0.71,7206.4575045108795,7199.771747350693
1631722689.329,634.0,0.67,7206.302251815796,7200.106390953064
1631729896.204,635.0,0.6,7206.128818511963,7195.744922161102
1631737104.517,636.0,0.58,7207.750275611877,7199.91166806221
1631744311.177,637.0,0.62,7206.153051376343,7200.162200689316
1631751518.496,638.0,0.64,7206.743984699249,7198.897300004959
1631758725.155,639.0,0.58,7206.1519565582275,7199.703869342804
1631765931.176,640.0,0.64,7205.704308986664,7200.0249490737915
1631773138.512,641.0,0.63,7206.732082605362,7200.137877464294
1631780345.246,642.0,0.65,7206.247955799103,7200.324081897736
1631787552.549,643.0,0.62,7206.780620336533,7200.220066785812
1631794759.408,644.0,0.61,7206.372797966003,7196.506905794144
1631801966.459,645.0,1.1,7206.426191568375,7200.2925662994385
1631809174.143,646.0,1.06,7207.0580933094025,7200.298684835434
1631816381.176,647.0,0.97,7206.397666692734,7200.157856702805
1631823588.542,648.0,0.63,7206.766976356506,7200.218243598938
1631830797.417,649.0,0.58,7208.378899097443,7199.7544066905975
1631838004.256,650.0,0.64,7206.271422386169,7200.336340665817
1631845212.591,651.0,0.65,7207.469384431839,7200.078811168671
1631852421.419,652.0,0.56,7208.414830446243,7199.816643238068
1631859628.234,653.0,0.65,7206.184851646423,7198.757921934128
1631866835.196,654.0,0.61,7206.443273067474,7200.105481624603
1631874042.144,655.0,0.53,7206.310631275177,7199.980086803436
1631881249.398,656.0,0.87,7206.907031297684,7201.123281955719
1631888456.593,657.0,1.13,7206.557521343231,7200.730859518051
1631895663.134,658.0,1.27,7206.062126636505,7199.809651136398
1631902871.281,659.0,1.05,7207.483921766281,7200.1337349414825
1631908027.099,660.0,0.55,5155.298654079437,5149.621296405792
1631914109.224,661.0,1.62,3557.056807756424,3550.000521659851
1631914798.829,662.0,0.92,425.0451362133026,419.7180984020233
1631917524.826,663.0,1.5,2652.571523666382,2644.9953920841217
1631922301.398,664.0,1.58,4649.332014799118,4643.817146778107
1631929582.437,665.0,0.66,7206.403042554855,7199.9910364151
1631936789.402,666.0,0.58,7206.34216427803,7200.290137052536
1631943996.197,667.0,0.44,7206.163859844208,7200.016222476959
1631951204.56,668.0,0.55,7207.8025822639465,7195.618822336197
1631958411.543,669.0,0.6,7206.460322380066,7199.821075201035
1631965618.513,670.0,0.84,7206.466303825378,7199.809223651886
1631972825.289,671.0,1.11,7206.202191352844,7200.266928434372
1631980032.584,672.0,1.07,7206.760632991791,7200.1782438755035
1631987239.501,673.0,1.1,7206.504935503006,7200.199555158615
1631994446.492,674.0,0.8,7206.463766813278,7200.7506494522095
1632001653.474,675.0,0.65,7206.428070306778,7199.334042549133
1632008893.194,678.0,0.55,7205.756039619446,7200.016222000122
1632016100.584,679.0,0.59,7206.816964864731,7197.611568212509
1632023307.389,680.0,0.6,7206.344139575958,7199.376464605331
1632030515.387,681.0,0.59,7207.328318357468,7199.888929605484
1632037722.553,682.0,0.58,7206.481523513794,7200.248330831528
1632044929.46,683.0,0.57,7206.399969100952,7199.910273313522
1632052136.152,684.0,0.77,7206.125671386719,7198.316433906555
1632059343.189,685.0,1.07,7206.65091085434,7200.262366533279
1632066550.349,686.0,1.07,7206.457920074463,7200.350255489349
1632073757.309,687.0,1.0,7206.519554138184,7200.201696395874
1632080966.128,688.0,0.73,7208.246016740799,7200.206468105316
1632088173.584,689.0,0.6,7207.0198583602905,7191.544408559799
1632095381.454,690.0,0.59,7207.421928405762,7199.783466339111
1632102588.365,691.0,0.55,7206.31983089447,7199.952714681625
1632109795.308,692.0,0.61,7206.260931968689,7199.348157405853
1632117002.483,693.0,0.46,7206.694265365601,7200.218013048172
1632124209.142,694.0,0.72,7206.079878330231,7199.072976350784
1632131416.132,695.0,0.75,7206.60805106163,7200.227880001068
1632138623.442,696.0,1.02,7206.607673883438,7199.369442939758
1632145830.783,697.0,1.12,7206.754912137985,7199.953594923019
1632153037.44,698.0,1.13,7206.131263971329,7200.20373916626
1632160244.124,699.0,1.03,7206.068408966064,7199.8576011657715
1632167451.271,700.0,0.73,7206.436238527298,7199.70445394516
1632174659.587,701.0,0.69,7207.771158218384,7198.442643404007
1632181866.28,702.0,0.45,7206.247697591782,7197.716575860977
1632189073.585,703.0,0.46,7206.779478311539,7200.5392479896545
1632196280.514,704.0,0.63,7206.464931488037,7198.209769487381
1632203488.581,705.0,0.93,7207.407883405685,7200.243556261063
1632210695.249,706.0,1.33,7206.233642101288,7200.117814779282
1632217902.281,707.0,1.06,7206.474351882935,7200.218785047531
1632225109.144,708.0,0.78,7206.3397715091705,7200.344269275665
1632232316.559,709.0,0.5,7206.762679338455,7200.509843587875
1632239524.511,710.0,0.47,7207.426592588425,7200.21946644783
1632246731.448,711.0,0.57,7206.374967336655,7198.254675865173
1632253923.25,712.0,0.59,7191.200437784195,7179.958825826645
1658394283.515,1001.0,0.94,7206.785869598389,7201.064841032028
1658401490.495,1002.0,1.18,7206.525020837784,7200.591269254684
1658408697.156,1003.0,1.68,7206.17910194397,7200.357856750488
1658415904.49,1004.0,3.05,7206.983960866928,7201.042066574097
1658423111.341,1005.0,3.14,7206.2959887981415,7200.403938055038
1658430318.604,1006.0,3.25,7206.849879980087,7200.869178533554
1658437525.299,1007.0,3.66,7206.268434524536,7200.4304394721985
1658444732.271,1008.0,4.21,7206.510699510574,7200.417752981186
1658451940.552,1009.0,4.0,7207.750027179718,7200.419850587845
1658459147.383,1010.0,4.17,7206.319924116135,7199.656650543213
1658466354.565,1011.0,4.19,7206.773731470108,7200.530560255051
1658473561.246,1012.0,4.3,7206.21044588089,7198.6092648506165
1658475989.057,1013.0,3.91,2427.2711708545685,2421.746545791626
1658483196.344,1014.0,0.36,7206.9988441467285,7198.210803031921
1658490403.382,1015.0,0.36,7206.6595232486725,7197.670738935471
1658497610.339,1016.0,0.47,7206.6172749996185,7197.031210899353
1658504817.236,1017.0,0.39,7206.509790182114,7199.028812408447
1658512024.285,1018.0,0.36,7206.561059474945,7199.383125543594
1658519231.217,1019.0,0.37,7206.4974155426025,7197.720100879669
1658526438.296,1020.0,0.37,7206.576637029648,7197.230312824249
1658533645.245,1021.0,0.38,7206.523626565933,7197.628113269806
1658540852.319,1022.0,0.39,7206.597031831741,7199.170735836029
1658548059.299,1023.0,0.34,7206.572741270065,7197.590189695358
1658555266.232,1024.0,0.33,7206.50293970108,7198.492820739746
1658562473.238,1025.0,0.36,7206.495667934418,7199.618453264236
1658569343.042,1026.0,0.36,6869.314671039581,6861.477702140808
1658632377.366,1027.0,6.89,1053.9000043869019,1047.8313298225403
1658656327.561,1028.0,2.65,7206.816997528076,7200.085784435272
1658662315.712,1029.0,1.47,5987.720969438553,5981.935943365097
1658677576.609,1030.0,1.03,7207.085284233093,7201.113753795624
1658684783.159,1031.0,1.33,7206.174281597137,7199.283943414688
1658691990.55,1032.0,1.55,7207.0539174079895,7201.073527097702
1658699197.281,1033.0,2.59,7206.311142683029,7200.125995635986
1658706404.149,1034.0,2.2,7206.3931720256805,7199.9462695121765
1658713610.455,1035.0,2.82,7205.96328496933,7200.31635260582
1658720817.475,1036.0,3.33,7206.485739946365,7200.873212814331
1658728024.471,1037.0,2.12,7206.475541114807,7200.3482167720795
1658733836.643,1038.0,1.56,5811.649119138718,5806.149130105972
1658741045.389,1039.0,1.22,7208.425756931305,7200.592035531998
1658748252.241,1040.0,0.64,7206.503420114517,7200.684529781342
1658755460.51,1041.0,0.43,7207.7229783535,7190.163795948029
1658762667.511,1042.0,0.47,7206.472441911697,7200.471263408661
1658769875.23,1043.0,0.58,7207.199045181274,7200.200234413147
1658777082.465,1044.0,0.44,7206.731532335281,7200.198566198349
1658784290.613,1045.0,0.64,7207.625017166138,7200.616495132446
1658791497.253,1046.0,1.02,7206.226053237915,7199.831359624863
1658798704.423,1047.0,1.49,7206.624229431152,7200.425884008408
1658805911.143,1048.0,0.66,7206.3656713962555,7199.343812227249
1658813119.413,1049.0,0.5,7207.896988630295,7201.093377113342
1658820328.596,1050.0,0.9,7208.736793279648,7200.609768867493
1658827535.335,1051.0,1.91,7206.269957304001,7200.038679599762
1658834742.467,1052.0,0.42,7206.671249389648,7200.647223949432
1658841949.2,1053.0,0.42,7206.15105509758,7200.105174303055
1658849158.276,1054.0,0.47,7208.490857839584,7198.634217977524
1658856365.575,1055.0,0.52,7206.7696623802185,7200.4673047065735
1658863572.198,1056.0,0.43,7206.146802186966,7194.436786651611
1658870779.59,1057.0,0.68,7207.116588115692,7194.814387083054
1658877985.609,1058.0,1.22,7205.587513685226,7199.658635377884
1658885193.725,1059.0,2.1,7207.704524278641,7200.743960618973
1658892400.629,1060.0,0.85,7206.332617998123,7197.566542625427
1658899607.765,1061.0,0.37,7206.472379684448,7199.127316236496
1658906814.986,1062.0,0.4,7206.792932271957,7200.727424144745
1658914021.849,1063.0,0.65,7206.37092924118,7199.769158601761
1658921228.912,1064.0,0.45,7206.7180733680725,7200.869109153748
1658928437.052,1065.0,0.42,7207.85541510582,7195.158841848373
1658932245.032,1066.0,0.42,3807.5048456192017,3798.7024285793304
1659466592.018,1067.0,0.39,7207.9465873241425,7199.699652433395
1659473798.642,1068.0,0.89,7206.216997146606,7199.7235651016235
1659481004.875,1069.0,1.52,7205.941822052002,7197.279950141907
1659488211.678,1070.0,1.19,7206.486713647842,7200.3955063819885
1659495421.015,1071.0,0.36,7208.837454557419,7199.997599840164
1659502628.009,1072.0,0.41,7206.585166692734,7199.8278658390045
1659509836.606,1073.0,0.53,7208.1812880039215,7200.568945646286
1659517043.068,1074.0,0.61,7206.142378330231,7200.291800737381
1659524249.643,1075.0,0.61,7206.208954811096,7200.058089494705
1659531456.724,1076.0,0.4,7206.54628944397,7199.760493516922
1659538663.728,1077.0,0.35,7206.549181699753,7196.444216012955
1659545871.894,1078.0,0.38,7207.715367078781,7199.407841920853
1659553078.687,1079.0,0.57,7206.504431247711,7200.07368350029
1659560286.856,1080.0,0.57,7207.2698764801025,7200.4440240859985
1659567493.959,1081.0,0.72,7206.765687465668,7200.545859575272
1659574700.616,1082.0,0.56,7206.191061496735,7200.457543134689
1659581906.665,1083.0,0.63,7205.740540266037,7198.778836011887
1659589114.826,1084.0,0.63,7207.648055791855,7200.027574777603
1659596322.063,1085.0,0.99,7206.8731253147125,7200.166543722153
1659603528.837,1086.0,1.49,7206.404242515564,7200.412846088409
1659610735.6,1087.0,0.82,7206.408901453018,7199.985543489456
1659617942.689,1088.0,0.41,7206.748516321182,7199.82289648056
1659625149.697,1089.0,0.36,7206.513339519501,7200.2675766944885
1659632356.781,1090.0,0.35,7206.604858875275,7200.062959194183
1659639563.91,1091.0,0.53,7206.732911348343,7200.390527009964
1659646771.842,1092.0,0.57,7207.357872962952,7199.9794921875
1659653978.939,1093.0,0.67,7206.751455545425,7199.966894865036
1659661185.598,1094.0,0.49,7206.1660697460175,7199.289420127869
1659668392.772,1095.0,0.64,7206.847842931747,7200.07316660881
1659675599.956,1096.0,0.76,7206.783977031708,7200.281640291214
1659682806.583,1097.0,0.58,7206.154092311859,7199.864864349365
1659690013.055,1098.0,0.56,7206.126732587814,7199.226675033569
1659697220.807,1099.0,0.66,7207.375910997391,7200.13605093956
1659704427.961,1100.0,10.25,7206.7788343429565,7193.655117988586
1659711634.651,1101.0,14.25,7206.157517194748,7198.830006122589
1659718841.801,1102.0,0.36,7206.530559539795,7199.998981952667
1659726048.736,1103.0,0.34,7206.54169011116,7199.88213968277
1659733255.684,1104.0,0.38,7206.480264663696,7199.947138309479
1659740463.022,1105.0,0.38,7206.812463521957,7199.882076263428
1659747669.998,1106.0,0.39,7206.539051532745,7200.144706726074
1659754876.949,1107.0,0.39,7206.484030485153,7199.986974000931
1659762084.056,1108.0,0.37,7206.59579539299,7195.793352603912
1659769291.026,1109.0,0.38,7206.587950706482,7199.834697723389
1659776498.026,1110.0,0.38,7206.586899518967,7200.385852813721
1659783704.587,1111.0,0.38,7206.149689912796,7199.763362169266
