time [unix s],run ids [],trigger rate [Hz],run duration [s],data duration [s]
1657712105.622,1.0,1.54,7205.93480348587,7200.004116773605
1657719311.573,2.0,0.96,7205.529057264328,7196.463323831558
1657726518.911,3.0,0.93,7206.835374355316,7200.316791534424
1657733725.898,4.0,0.86,7206.599175453186,7199.4469521045685
1657740932.871,5.0,0.91,7206.535067558289,7200.601993083954
1657748139.826,6.0,0.88,7206.5404753685,7200.422699213028
1657755346.716,7.0,0.96,7206.429363250732,7200.692747354507
1657762554.735,8.0,0.84,7207.698446750641,7200.170659303665
1657769760.981,9.0,0.84,7205.943006038666,7200.393716573715
1657776967.818,10.0,0.9,7206.519572496414,7200.826680660248
1657784174.773,11.0,0.9,7206.484594583511,7199.873433351517
1657791380.983,12.0,0.9,7205.939411401749,7200.359600782394
1657798587.858,13.0,0.9,7206.566074132919,7200.767958879471
1657805794.564,14.0,0.97,7206.272946834564,7199.855318069458
1657809611.106,15.0,0.86,3816.0656781196594,3809.6810381412506
1657827248.836,16.0,0.92,7206.408629655838,7199.617201328278
1657834456.79,17.0,0.85,7207.498383283615,7197.343222141266
1657841664.863,18.0,0.91,7207.511410236359,7200.463651895523
1657848871.908,19.0,0.88,7206.611464500427,7200.528637886047
1657856078.786,20.0,0.88,7206.490809679031,7200.526129961014
1657863285.847,21.0,0.85,7206.5314083099365,7200.478261470795
1657870492.686,22.0,0.82,7206.39380979538,7200.2858283519745
1657877699.686,23.0,0.84,7206.638654708862,7199.455816268921
1657879705.535,24.0,0.82,2005.479394197464,1997.865299463272
1657929054.645,25.0,0.86,7205.991837263107,7198.971915006638
1657936260.937,26.0,0.79,7205.8959283828735,7200.269265651703
1657943467.713,27.0,0.86,7206.421641111374,7200.404882907867
1657950673.834,28.0,0.87,7205.79886674881,7199.324498653412
1657957880.772,29.0,0.83,7206.4646282196045,7200.226998806
1657965087.544,30.0,0.81,7206.245966911316,7199.985270738602
1657972294.746,31.0,0.9,7206.70072054863,7200.022694826126
