time [unix s],run ids [],trigger rate [Hz],run duration [s],data duration [s]
1655934380.044,1.0,1.24,7206.621061086655,7200.631098747253
1655941586.189,2.0,0.98,7205.857311487198,7199.073399782181
1655948793.161,3.0,1.51,7206.574377298355,7200.839220046997
1655956000.271,4.0,3.35,7206.683034420013,7200.811705827713
1655962788.393,5.0,4.18,6787.514392614365,6781.492031097412
1656227828.781,6.0,4.41,7206.561602830887,7200.85510969162
1656235036.231,7.0,4.26,7207.0958733558655,7200.49919462204
1656242242.974,8.0,3.05,7206.352818250656,7199.967960834503
1656249450.019,9.0,1.21,7206.668741941452,7199.682693004608
1656256657.094,10.0,2.01,7206.7412531375885,7200.823002338409
1656263864.092,11.0,2.22,7206.494879484177,7200.469704866409
1656271071.127,12.0,2.62,7206.52047085762,7200.363254785538
1656278278.005,13.0,2.99,7206.4024794101715,7200.439317941666
1656285484.902,14.0,2.73,7206.486768484116,7200.48429107666
1656292692.146,15.0,2.13,7206.798103809357,7200.411598920822
1656299899.033,16.0,3.58,7206.423933267593,7199.9996745586395
1656307105.932,17.0,3.94,7206.581177473068,7200.146003484726
1656314312.912,18.0,4.05,7206.555351018906,7200.084780216217
1656321519.793,19.0,4.07,7206.446556568146,7200.623843193054
1656328727.214,20.0,3.78,7207.11173081398,7200.876088142395
1656335933.92,21.0,2.96,7206.316933870316,7200.058762788773
1656341896.557,22.0,2.59,5962.203532218933,5956.431031942368
1656361584.074,23.0,2.28,7203.539589881897,7190.436927080154
1656368791.161,24.0,3.92,7206.579058885574,7199.066694259644
1656375998.119,25.0,3.98,7206.5182864665985,7200.5248119831085
1656383204.973,26.0,3.91,7206.381912946701,7200.5700442790985
1656390411.858,27.0,3.93,7206.503297328949,7200.73189496994
1656397618.892,28.0,3.94,7206.543571949005,7200.724166870117
1656404826.037,29.0,3.54,7206.68902182579,7200.787887811661
1656412033.085,30.0,3.77,7206.74023103714,7201.005909204483
1656419239.991,31.0,3.86,7206.38783121109,7199.629807949066
1656426447.175,32.0,4.17,7206.8326914310455,7200.057274103165
1656433653.783,33.0,1.95,7206.176743745804,7200.355181694031
1656440861.076,34.0,1.47,7206.7318778038025,7200.8590297698975
1656448067.996,35.0,3.44,7206.392565488815,7200.4889459609985
1656455274.914,36.0,4.04,7206.571010112762,7200.715364456177
1656462482.055,37.0,4.04,7206.697710514069,7200.793031454086
1656469689.267,38.0,3.99,7206.918562173843,7200.776244878769
1656476896.016,39.0,3.92,7206.398725032806,7200.674268722534
1656484102.845,40.0,4.09,7206.5001430511475,7200.360444307327
1656491310.271,41.0,4.16,7206.914027929306,7201.255730390549
1656498516.788,42.0,3.45,7206.192177772522,7200.436433553696
1656505723.866,43.0,1.99,7206.761100530624,7200.516935586929
1656512931.218,44.0,2.53,7206.876272916794,7200.889365673065
1656520137.806,45.0,2.93,7206.202179670334,7199.821152448654
1656527345.235,46.0,3.95,7206.8847115039825,7200.68405175209
1656534552.088,47.0,4.02,7206.481643915176,7200.516332387924
1656541759.221,48.0,3.94,7206.620210886002,7200.802477359772
1656548966.102,49.0,3.92,7206.496035814285,7200.5371787548065
1656556172.89,50.0,3.96,7206.289353847504,7200.462671756744
1656563380.055,51.0,4.06,7206.689120292664,7200.570685863495
1656570587.115,52.0,4.17,7206.7497651577,7201.051374912262
1656577793.906,53.0,4.19,7206.2959904670715,7200.15643453598
1656585000.983,54.0,4.08,7206.637405395508,7200.118348836899
1656592208.277,55.0,4.09,7206.921713113785,7201.121480703354
1656599415.12,56.0,3.73,7206.483733892441,7199.730761289597
1656606621.802,57.0,3.67,7206.18257689476,7200.589717626572
1656613828.009,58.0,4.08,7205.912190198898,7200.25217294693
1656621034.872,59.0,4.02,7206.488767623901,7200.4842031002045
1656628241.823,60.0,4.07,7206.46649479866,7199.954573869705
1656635446.229,61.0,3.91,7203.872193574905,7199.533461809158
1656642653.144,62.0,3.98,7206.545850276947,7200.112430810928
1656649860.052,63.0,4.08,7206.440578222275,7200.295213699341
1656657066.842,64.0,4.03,7206.495351314545,7199.9215886592865
1656664274.232,65.0,4.18,7206.877295255661,7200.963629961014
1656671481.02,66.0,4.09,7206.421322822571,7200.143327951431
1656678688.787,67.0,3.78,7207.254031658173,7200.035235643387
1656685896.064,68.0,0.96,7206.968218564987,7200.310101985931
1656693103.074,69.0,2.43,7206.708579301834,7200.830594539642
1656700310.271,70.0,4.1,7206.9094450473785,7201.085820674896
1656707517.176,71.0,4.15,7206.571750879288,7200.7755653858185
1656714723.968,72.0,4.16,7206.376907587051,7200.333568811417
1656721930.903,73.0,4.0,7206.541444301605,7200.806634187698
1656729138.135,74.0,4.11,7206.781850814819,7201.052539110184
1656736345.023,75.0,4.05,7206.405885457993,7200.222435235977
1656742236.543,76.0,4.1,5891.200976610184,5885.1214191913605
1656749442.961,77.0,0.42,7206.089102268219,7197.994873523712
1656756649.981,78.0,0.41,7206.53192615509,7199.174877405167
1656763856.883,79.0,0.43,7206.505699157715,7194.980221986771
1656771063.893,80.0,0.41,7206.532385110855,7197.929962158203
1656778271.108,81.0,0.44,7206.686928987503,7195.945349693298
1656785477.822,82.0,0.38,7206.163300275803,7195.368675708771
1656792684.803,83.0,0.37,7206.444541215897,7199.588141202927
1656799892.204,84.0,0.38,7206.812598228455,7200.404686689377
1657152595.692,88.0,0.44,7207.958979606628,7200.529518604279
1657159804.389,89.0,0.45,7208.280263900757,7199.993738889694
1657167011.51,90.0,0.45,7206.651221513748,7195.539486885071
1657174218.303,91.0,0.39,7206.444545030594,7200.108935594559
1657181426.738,92.0,0.41,7207.85218501091,7200.03095293045
1657188633.739,93.0,0.44,7206.6730806827545,7199.353056192398
1657195841.312,94.0,0.44,7207.232346534729,7199.976488828659
1657203048.506,95.0,0.45,7206.630144119263,7199.924991130829
1657210255.478,96.0,0.51,7206.654184341431,7199.948970317841
1657217462.401,97.0,0.48,7206.506503105164,7199.946493864059
1657219180.781,98.0,0.5,1717.917587518692,1712.4377818107605
1657232481.474,99.0,0.44,7205.876323461533,7198.820457935333
1657239688.307,100.0,0.47,7206.466657400131,7195.230711698532
1657246895.398,101.0,0.41,7206.494716644287,7199.677507400513
1657254102.678,102.0,0.4,7206.839872837067,7199.4798057079315
1657261309.579,103.0,0.42,7206.52682518959,7199.800101995468
1657268516.617,104.0,0.45,7206.562100410461,7199.774339914322
1657275723.639,105.0,0.43,7206.526225090027,7199.859009742737
1657282930.322,106.0,0.53,7206.262239456177,7200.046301364899
1657290137.438,107.0,0.47,7206.571746826172,7199.73756313324
1657304598.248,110.0,10.31,7203.65878367424,7200.310480833054
1657311805.657,111.0,0.48,7207.064183473587,7200.133601665497
1657319012.414,112.0,0.5,7206.322044372559,7198.852463245392
1657326219.278,113.0,0.49,7206.425416946411,7200.264994382858
1657333428.699,114.0,0.46,7208.872017383575,7199.555543661118
1657340635.699,115.0,0.4,7206.603276729584,7200.048871517181
1657347844.525,116.0,0.4,7208.436138391495,7200.0192313194275
1657355052.598,117.0,0.46,7207.576245307922,7193.089048862457
1657362259.675,118.0,0.43,7206.564449071884,7200.391003608704
1657369466.254,119.0,0.49,7206.181671142578,7199.791944026947
1657376672.654,120.0,0.49,7206.089289903641,7199.406226873398
1657383879.685,121.0,0.48,7206.599848985672,7200.086267232895
1657391086.734,122.0,0.54,7206.671269655228,7199.256133794785
1657398293.69,123.0,0.51,7206.61563706398,7200.283616065979
1657405500.696,124.0,0.47,7206.60221862793,7200.765219211578
1657412708.413,125.0,0.48,7207.32967543602,7199.747056007385
1657419915.293,126.0,0.46,7206.477900028229,7200.058987379074
1657427122.519,127.0,0.43,7206.665069103241,7199.242444753647
1657434331.384,128.0,0.44,7208.3049693107605,7199.9164962768555
1657441538.303,129.0,0.47,7206.500836849213,7199.128879070282
1657448745.704,130.0,0.48,7206.831858873367,7200.177850723267
1657455952.668,131.0,0.53,7206.562428474426,7194.365247964859
1657463159.267,132.0,0.59,7206.185865879059,7199.781702280045
1657470365.613,133.0,0.52,7206.060534000397,7199.935258626938
1657477572.577,134.0,0.52,7206.4963347911835,7200.218924283981
1657484779.549,135.0,0.47,7206.450083732605,7200.363554954529
1657491985.665,136.0,0.47,7205.860192775726,7199.278128147125
1657499192.422,137.0,0.53,7206.35604763031,7195.76659488678
1657506399.34,138.0,0.54,7206.539261341095,7199.8523461818695
1657513607.428,139.0,0.5,7207.433080196381,7200.006884098053
1657520814.38,140.0,0.43,7206.540029525757,7199.998048067093
1657528022.378,141.0,0.43,7206.044855117798,7199.91415476799
1657535230.631,142.0,0.45,7207.802495956421,7194.852381467819
1657542437.388,143.0,0.52,7206.249186754227,7200.2772336006165
1657549644.552,144.0,0.44,7206.74391913414,7199.9343094825745
1657556851.647,145.0,0.48,7206.5936324596405,7199.924588441849
1657564058.297,146.0,0.48,7206.223947525024,7200.168144464493
1657571265.415,147.0,0.52,7206.580782175064,7199.915066957474
1657578472.535,148.0,0.54,7206.691963195801,7198.474012136459
1657585679.393,149.0,0.54,7206.591317176819,7198.002630472183
1657592886.693,150.0,0.46,7206.8500254154205,7199.996453046799
1657600095.49,151.0,0.45,7208.383501291275,7199.382716655731
1657607304.351,152.0,0.5,7208.140687942505,7199.857627868652
1657614511.468,153.0,0.43,7206.638247489929,7199.5814044475555
1657621718.538,154.0,0.48,7206.672950744629,7199.589049339294
1657628925.648,155.0,0.54,7206.560132265091,7200.40113735199
1657636131.255,156.0,0.68,7205.1925740242,7198.868702888489
1657643335.638,157.0,0.59,7204.082497835159,7196.952691316605
1657650539.642,158.0,0.63,7203.581472396851,7199.831482410431
1657657743.661,159.0,0.68,7203.602526664734,7197.534422636032
1657731506.578,172.0,0.47,7204.169728279114,7199.474604129791
1657738710.734,173.0,0.45,7203.593174934387,7200.02406334877
1657745915.378,174.0,0.42,7204.310617685318,7195.065393686295
1657753119.433,175.0,0.39,7203.566415548325,7198.1315932273865
1657760323.442,176.0,0.37,7203.607901334763,7197.172573804855
1657767527.51,177.0,0.38,7203.644789218903,7198.830746650696
1657774731.461,178.0,0.36,7203.609562397003,7195.961657524109
