time [unix s],run ids [],trigger rate [Hz],run duration [s],data duration [s]
1657144521.797,2.0,0.89,7206.475773572922,7199.932102918625
1657158649.977,5.0,0.77,7206.6258907318115,7190.417315483093
1657165856.68,6.0,0.82,7206.418892860413,7197.831596851349
1657173063.991,7.0,0.73,7206.897987604141,7198.9883716106415
1657180271.116,8.0,0.8,7206.4964900016785,7198.579131126404
1657187478.034,9.0,0.61,7206.459294557571,7197.9204914569855
1657194685.091,10.0,0.64,7206.4735770225525,7197.842108488083
1657201891.981,11.0,0.61,7206.420280694962,7198.1645431518555
1657209098.719,12.0,0.62,7206.468222856522,7199.214705705643
1657210603.0,13.0,0.79,1503.9467463493347,1496.9907948970795
1657228856.717,14.0,1.04,7206.4136917591095,7200.302435398102
1657236064.024,15.0,0.8,7206.959418773651,7197.693770170212
1657243271.093,16.0,0.85,7206.517036437988,7198.524978399277
1657250478.711,17.0,0.8,7207.151354789734,7200.247293949127
1657257685.921,18.0,0.92,7206.901185035706,7200.280741453171
1657264892.813,19.0,0.79,7206.443608045578,7196.5920786857605
1657272099.8,20.0,0.74,7206.475771903992,7200.321569919586
1657279306.705,21.0,0.7,7206.449537277222,7198.6494171619415
1657286513.907,22.0,0.73,7206.893619775772,7193.579621553421
1657293720.732,23.0,0.84,7206.401467323303,7198.177401542664
1657300927.803,24.0,0.93,7206.79812169075,7197.963045120239
1657308134.736,25.0,0.81,7206.57217168808,7199.304152727127
1657315341.716,26.0,0.84,7206.395273208618,7199.359196662903
1657322549.849,27.0,0.83,7207.563458204269,7199.765550613403
1657329756.74,28.0,0.76,7206.420973062515,7197.851387500763
1657336964.063,29.0,0.79,7206.77600646019,7199.436161518097
1657344172.156,30.0,0.78,7207.536868572235,7198.939503669739
1657351379.914,31.0,0.88,7207.3793251514435,7200.5231347084045
1657358587.171,32.0,0.92,7206.877269744873,7200.649572610855
1657365793.996,33.0,0.84,7206.482944965363,7199.916672229767
1657373000.864,34.0,0.74,7206.601956367493,7197.068054199219
1657380209.68,35.0,0.64,7208.353391885757,7200.893993377686
1657387416.678,36.0,0.84,7206.614727973938,7200.117479801178
1657394624.124,37.0,0.87,7207.1071400642395,7200.01705789566
1657401833.864,41.0,0.9,7207.856639862061,7199.140602350235
1657409040.933,42.0,0.94,7206.6435396671295,7197.9987144470215
1657416247.876,43.0,0.79,7206.580876111984,7198.870726108551
1657423454.836,44.0,0.8,7206.546482563019,7198.303241014481
1657430663.953,45.0,0.73,7208.668863534927,7199.749867677689
1657437870.97,46.0,0.91,7206.627110004425,7199.739538908005
1657445082.766,48.0,0.81,7207.945025682449,7200.169005870819
1657452289.981,49.0,0.75,7206.654883623123,7200.052227258682
1657459496.783,50.0,0.72,7206.535176515579,7200.4287667274475
1657466704.132,51.0,0.86,7206.800342559814,7197.221340179443
1657473911.838,52.0,0.92,7207.252774477005,7200.190385103226
1657481121.154,53.0,0.73,7208.793329000473,7199.324668884277
1657488327.788,54.0,0.86,7206.182853221893,7199.345908403397
1657495534.929,55.0,0.76,7206.59556388855,7200.532241344452
1657502742.064,56.0,0.86,7206.741204500198,7198.946496009827
1657509949.85,57.0,0.78,7207.282352685928,7200.769195318222
1657517157.915,58.0,0.89,7207.526816606522,7200.799349069595
1657524365.005,59.0,0.93,7206.6716504096985,7200.543731451035
1657531573.093,60.0,0.86,7207.5571892261505,7201.137878417969
1657538779.684,61.0,0.76,7206.127513170242,7198.541485548019
1657545987.1,62.0,0.73,7207.064517259598,7199.912557601929
1657553194.851,63.0,0.76,7207.251033306122,7200.842643499374
1657560402.967,64.0,0.8,7207.680603981018,7200.4851331710815
1657567609.862,65.0,0.76,7206.547170877457,7198.633589029312
1657574817.043,66.0,0.85,7206.697196006775,7200.58887052536
1657582024.05,67.0,0.73,7206.521183490753,7200.120367050171
1657589231.847,68.0,0.77,7207.322100400925,7200.664197444916
1657596438.892,69.0,0.9,7206.562509775162,7200.052502155304
1657603645.936,70.0,0.85,7206.6333565711975,7199.856180667877
1657610853.024,71.0,0.93,7206.723109722137,7200.203936338425
1657618060.077,72.0,0.9,7206.517891168594,7198.682632446289
1657625267.084,73.0,0.7,7206.560403585434,7199.895983457565
1657632474.863,74.0,0.73,7207.286810398102,7200.953761816025
1657639681.962,75.0,0.8,7206.617614269257,7200.538861036301
1657640845.206,76.0,0.84,1162.9429507255554,1155.5954196453094
1657648051.976,77.0,0.29,7206.593238353729,7197.171632528305
1657655258.76,78.0,0.25,7206.4228546619415,7189.367905139923
1657662465.72,79.0,0.31,7206.428514719009,7192.900971889496
1657669673.149,80.0,3.34,7207.094878196716,7191.368801355362
1657676880.891,81.0,0.32,7207.283308506012,7200.348176956177
