time [unix s],run ids [],trigger rate [Hz],run duration [s],data duration [s]
1656374896.909,1.0,0.56,7206.38911485672,7199.934122562408
1656382103.812,2.0,0.98,7206.533741950989,7199.088250637054
1656389310.799,3.0,2.76,7206.508500576019,7200.769817352295
1656396517.68,4.0,3.68,7206.361713886261,7200.220654964447
1656403724.757,5.0,4.62,7206.449452161789,7200.433396816254
1656410931.689,6.0,3.92,7206.373300075531,7200.088787317276
1656418138.887,7.0,4.5,7206.616272211075,7200.444888830185
1656425345.871,8.0,4.73,7206.6286652088165,7199.656988620758
1656432552.654,9.0,2.9,7206.338495492935,7198.938498973846
1656439759.678,10.0,2.6,7206.402394533157,7200.363228321075
1656446966.85,11.0,3.96,7206.569720506668,7199.877093076706
1656454173.708,12.0,4.72,7206.375829696655,7200.264410018921
1656461380.927,13.0,4.72,7206.6347115039825,7200.730837106705
1656468587.641,14.0,4.68,7206.097641944885,7200.324311971664
1656475794.921,15.0,4.76,7206.875587940216,7200.842203378677
1656483001.649,16.0,4.81,7206.157235145569,7200.112965345383
1656490208.861,17.0,4.65,7206.563262939453,7200.555662870407
1656497415.741,18.0,4.84,7206.50279045105,7200.648922204971
1656504622.901,19.0,4.39,7206.571653842926,7200.609350204468
1656511829.851,20.0,3.08,7206.315398693085,7200.05708861351
1656519036.949,21.0,3.76,7206.650851488113,7198.832700014114
1656526243.873,22.0,4.86,7206.322235822678,7199.182420730591
1656533450.643,23.0,4.54,7206.321767091751,7200.240919113159
1656540658.027,24.0,3.55,7206.794420480728,7200.5331158638
1656547864.967,25.0,3.58,7206.4737248420715,7200.650598049164
1656555072.04,26.0,3.83,7206.493854999542,7200.389625072479
1656562278.853,27.0,4.32,7206.306344985962,7200.498427152634
1656569485.664,28.0,4.44,7206.393156528473,7200.303287267685
1656576693.03,29.0,4.63,7206.705914258957,7200.750125646591
1656583899.921,30.0,4.63,7206.41454076767,7200.613835811615
1656591106.676,31.0,4.73,7206.448264122009,7200.689352989197
1656598313.778,32.0,4.78,7206.453442335129,7200.206594467163
1656605521.097,33.0,4.12,7206.835045576096,7200.539467096329
1656612727.978,34.0,4.71,7206.424831628799,7200.400081157684
1656619934.811,35.0,4.74,7206.325256824493,7200.49259519577
1656627141.771,36.0,4.68,7206.490258932114,7200.676772117615
1656634348.892,37.0,4.68,7206.556935548782,7200.769332885742
1656641555.677,38.0,4.77,7206.390607595444,7199.413911581039
1656648763.088,39.0,4.7,7206.839831829071,7201.051797866821
1656655969.681,40.0,4.48,7206.112616300583,7200.218636035919
1656663176.69,41.0,4.4,7206.369565486908,7199.749261379242
1656670384.099,42.0,4.59,7207.1311814785,7200.152688026428
1656677591.029,43.0,4.23,7206.522401094437,7200.62091422081
1656684797.986,44.0,3.08,7206.394819974899,7199.127539873123
1656692005.085,45.0,3.8,7206.586505889893,7200.44632935524
1656695713.391,46.0,4.51,3707.8642122745514,3702.0016343593597
1656700079.668,47.0,2.27,2240.073152065277,2233.8817236423492
1656749194.095,49.0,0.5,7206.771548032761,7198.806439399719
1656756400.674,50.0,0.51,7206.118587017059,7194.400407075882
1656763607.727,51.0,0.46,7206.703012704849,7200.238605976105
1656770811.957,52.0,0.47,7203.733916282654,7196.521775960922
1656778015.733,53.0,0.5,7203.216339826584,7196.585081338882
1656785219.977,54.0,0.48,7203.701307058334,7192.188649892807
1656792423.805,55.0,0.51,7203.277701377869,7195.410484790802
1656799627.957,56.0,0.49,7203.709421873093,7192.8823029994965
1657152742.69,58.0,0.66,7206.496862649918,7200.488716363907
1657159948.599,59.0,0.51,7205.644216537476,7199.282760620117
1657167155.689,60.0,0.45,7206.6398730278015,7199.833976507187
1657174364.899,61.0,0.57,7208.606334686279,7196.244649171829
1657181571.955,62.0,0.5,7206.728290319443,7200.823590517044
1657188778.882,63.0,0.79,7206.338185787201,7200.045652151108
1657195985.918,64.0,0.47,7206.681125640869,7195.8850309848785
1657203192.829,65.0,0.72,7206.552313327789,7198.500569105148
1657210399.884,66.0,0.53,7206.622286558151,7200.384495019913
1657210751.616,67.0,0.6,351.30550742149353,345.60945987701416
1657228927.665,68.0,0.75,7206.5888504981995,7198.459402561188
1657236135.65,69.0,0.46,7207.6210815906525,7197.588833093643
1657243342.705,70.0,0.48,7206.684342384338,7196.693429470062
1657250549.052,71.0,0.47,7206.0895755290985,7199.852335929871
1657257755.874,72.0,0.56,7206.335270404816,7199.302324056625
1657264962.981,73.0,0.48,7206.703247308731,7201.0279903411865
1657272169.781,74.0,0.51,7206.224159955978,7199.414008617401
1657279376.682,75.0,0.65,7206.408174276352,7200.422490596771
1657286582.629,76.0,0.62,7205.672738075256,7198.347229719162
1657293788.601,77.0,0.49,7205.624475479126,7192.671331167221
1657300995.633,78.0,0.47,7206.61154961586,7200.438380241394
1657308202.732,79.0,0.46,7206.711308717728,7199.414585351944
1657315409.935,80.0,0.53,7206.656271934509,7200.130210399628
1657322617.632,81.0,0.48,7207.019349813461,7198.910245656967
1657329824.658,82.0,0.43,7206.636301040649,7200.015812397003
1657337031.728,83.0,0.48,7206.675486803055,7197.603173017502
1657344239.818,84.0,0.45,7207.594963312149,7199.86069393158
1657351446.874,85.0,0.46,7206.613252878189,7199.839376926422
1657358654.086,86.0,0.49,7206.807865858078,7199.781005620956
1657365872.524,87.0,0.59,7217.998559713364,7199.216380119324
