time [unix s],run ids [],trigger rate [Hz],run duration [s],data duration [s]
1631295758.706,656.0,0.92,7206.508320093155,7200.488323926926
1631302966.748,657.0,0.63,7207.465884923935,7200.233700752258
1631310173.5,658.0,0.52,7206.277247667313,7199.691073179245
1631317381.846,659.0,0.56,7207.800689458847,7199.791131734848
1631324589.891,660.0,0.51,7207.382338523865,7200.130323171616
1631331797.805,661.0,0.51,7207.28938293457,7200.043448448181
1631339004.563,662.0,0.56,7206.317625761032,7197.679424762726
1631346211.928,663.0,0.52,7206.959456443787,7199.855300664902
1631353418.864,664.0,0.51,7206.400192022324,7199.651659727097
1631360625.796,665.0,0.83,7206.322871923447,7200.099229812622
1631367832.851,666.0,1.04,7206.615793943405,7200.025778055191
1631375039.791,667.0,0.94,7206.287531375885,7200.311352014542
1631382247.464,668.0,0.96,7206.904293298721,7199.936693906784
1631389454.512,669.0,0.66,7206.4749302864075,7200.178099155426
1631396661.46,670.0,0.65,7206.464963674545,7199.592428922653
1631403901.728,673.0,0.66,7206.330432891846,7193.45726442337
1631411108.491,674.0,0.82,7206.208205699921,7200.126403570175
1631418315.564,675.0,0.81,7206.572239398956,7199.86679649353
1631425522.94,676.0,0.77,7206.93615603447,7200.046984672546
1631432729.854,677.0,0.99,7206.30259180069,7199.979958295822
1631439937.804,678.0,1.67,7207.31170463562,7200.220446109772
1631447144.904,679.0,2.18,7206.414672374725,7200.912693023682
1631454351.705,680.0,2.03,7206.196503400803,7200.229444026947
1631461558.879,681.0,1.33,7206.609563112259,7200.752037525177
1631468765.933,682.0,1.19,7206.400792837143,7200.23920249939
1631475972.725,683.0,0.84,7206.242591142654,7200.043592214584
1631483179.802,684.0,0.96,7206.529259681702,7199.94584774971
1631490386.829,685.0,0.86,7206.596649646759,7198.752039909363
1631497593.467,686.0,0.64,7206.20213842392,7200.572049617767
1631504799.457,687.0,0.72,7205.491123199463,7197.449217796326
1631512008.678,688.0,0.62,7208.60110616684,7200.061614513397
1631519216.946,689.0,0.57,7207.704395294189,7199.701432228088
1631526423.656,690.0,0.54,7206.181620597839,7199.614956140518
1631533630.508,691.0,0.53,7206.23305439949,7200.053670406342
1631540836.483,692.0,0.53,7205.4513103961945,7199.992004871368
1631548043.949,693.0,0.72,7206.906644105911,7194.601619720459
1631555250.549,694.0,0.63,7205.992460727692,7199.723635435104
1631562457.784,695.0,0.61,7206.677192687988,7199.600227117538
1631569664.912,696.0,0.55,7206.663891792297,7200.106720685959
1631576871.855,697.0,0.55,7206.3084628582,7199.449176073074
1631584078.516,698.0,0.56,7206.10631942749,7198.4343185424805
1631591285.472,699.0,0.57,7206.413357973099,7200.111594438553
1631598492.798,700.0,0.59,7206.814355134964,7200.575917005539
1631605699.598,701.0,0.56,7206.3066301345825,7199.925729036331
1631612906.823,702.0,0.6,7206.836287021637,7199.625869750977
1631620115.862,703.0,0.57,7208.583329916,7199.576995372772
1631627323.584,704.0,0.63,7207.050918579102,7199.941653966904
1631634530.882,705.0,0.58,7206.870300769806,7199.812839508057
1631641737.553,706.0,0.62,7206.030104398727,7195.679983139038
1631648945.777,707.0,0.55,7207.529045343399,7199.8841552734375
1631656152.525,708.0,0.56,7206.284951686859,7200.1659734249115
1631663359.629,709.0,0.62,7206.6388993263245,7196.8521049022675
1631670566.906,710.0,0.56,7206.645530700684,7200.129463672638
1631677773.739,711.0,0.54,7206.260947465897,7199.025833368301
1631684980.841,712.0,0.64,7206.567051649094,7200.245815038681
1631692187.75,713.0,0.57,7206.498450994492,7200.1140921115875
1631699394.943,714.0,0.58,7206.697454929352,7199.053813695908
1631706602.947,715.0,0.73,7207.424067497253,7200.04771232605
1631713809.641,716.0,0.78,7206.078563690186,7199.861608028412
1631721016.933,717.0,0.64,7206.692201375961,7200.092342615128
1631728223.613,718.0,0.57,7205.8731253147125,7198.932490825653
1631735430.491,719.0,0.54,7206.262723684311,7200.121992826462
1631742638.698,720.0,0.52,7206.639969587326,7199.667842626572
1631749845.751,721.0,0.56,7206.529031276703,7194.990653514862
1631757085.839,724.0,0.54,7206.190719366074,7200.109858036041
1631764292.672,725.0,0.55,7206.199649572372,7199.84178853035
1631771499.51,726.0,0.56,7206.278374195099,7199.717854261398
1631778706.822,727.0,0.56,7206.827260017395,7199.619251251221
1631785913.892,728.0,0.57,7206.620327949524,7195.809369564056
1631793120.632,729.0,0.58,7206.153584241867,7199.862258195877
1631800327.524,730.0,1.06,7206.297952413559,7199.92973613739
1631807534.517,731.0,1.01,7206.470478773117,7200.145621776581
1631814741.66,732.0,0.89,7206.607224702835,7200.137713909149
1631821948.855,733.0,0.59,7206.586493968964,7198.493571281433
1631829155.488,734.0,0.59,7206.301628828049,7191.37394118309
1631836362.755,735.0,0.54,7206.777313709259,7200.06321310997
1631843569.94,736.0,0.57,7206.647174358368,7200.717929124832
1631850777.82,737.0,0.56,7207.22780251503,7200.633989810944
1631857984.919,738.0,0.56,7206.691867828369,7199.9032435417175
1631865192.477,739.0,0.58,7206.939811468124,7199.720917224884
1631872401.671,740.0,0.6,7208.612535238266,7192.124919176102
1631879608.583,741.0,0.94,7206.294060945511,7200.556955099106
1631886815.673,742.0,1.12,7206.631118059158,7200.114008188248
1631894023.916,743.0,1.11,7207.678853273392,7199.916147947311
1631901230.828,744.0,1.02,7206.30672454834,7199.926876544952
1631908437.777,745.0,0.64,7206.259608268738,7200.217798709869
1631911090.157,746.0,0.6,2651.9166090488434,2641.908034801483
1631915626.26,747.0,1.62,3180.1746757030487,3173.5478360652924
1631917846.852,748.0,1.61,2091.7727937698364,2085.604490995407
1631922430.681,749.0,1.61,4563.1248254776,4556.125274658203
1631929686.524,750.0,0.59,7206.038678407669,7199.306511163712
1631936892.513,751.0,0.64,7205.527137517929,7200.108443975449
1631944099.945,752.0,0.6,7206.919739961624,7199.765723228455
1631951307.863,753.0,0.62,7207.303601026535,7200.0646340847015
1631958514.724,754.0,0.66,7206.176962614059,7200.468644142151
1631965721.607,755.0,1.02,7206.305757761002,7199.5624668598175
1631972928.748,756.0,1.2,7206.459883213043,7200.168303728104
1631980135.464,757.0,1.11,7206.1642973423,7199.93296289444
1631987342.763,758.0,1.06,7206.68859577179,7200.301787376404
1631994549.7,759.0,0.75,7206.428286314011,7200.3350875377655
1632001756.872,760.0,0.6,7206.585361003876,7196.014363288879
1632008963.454,761.0,0.59,7206.229751110077,7199.700107336044
1632016170.495,762.0,0.58,7206.444088459015,7199.822245836258
1632023377.766,763.0,0.58,7206.725704431534,7199.180824518204
1632030584.874,764.0,0.62,7206.5804002285,7200.982166528702
1632037794.896,765.0,0.61,7209.3456292152405,7200.110386371613
1632045001.69,766.0,0.6,7206.130884647369,7199.8485951423645
1632052208.7,767.0,0.91,7206.422655582428,7200.839698791504
1632059415.733,768.0,1.14,7206.4472868442535,7200.13796210289
1632066623.851,769.0,1.14,7207.572360277176,7199.957430362701
1632073830.945,770.0,1.06,7206.417443752289,7200.6224138736725
1632081037.946,771.0,0.69,7206.424560785294,7200.165813922882
1632088246.502,772.0,0.67,7208.028438329697,7199.971482515335
1632095453.884,773.0,0.61,7206.868113517761,7197.653049707413
1632102660.763,774.0,0.61,7206.244775056839,7199.662248373032
1632109867.645,775.0,0.61,7206.3935787677765,7199.54087638855
1632117074.851,776.0,0.63,7206.615326881409,7200.168726205826
1632124282.821,777.0,0.64,7207.288114309311,7199.616906642914
1632131489.498,778.0,0.61,7206.251183986664,7199.719441890717
1632138695.567,779.0,1.0,7205.570073604584,7192.861158847809
1632143570.5,780.0,1.2,4874.265658855438,4867.997009277344
1656187662.215,1000.0,16.87,572.1131293773651,554.3927745819092
1656187804.358,1001.0,18.29,141.45879006385803,123.74214220046997
1656187978.104,1002.0,17.13,173.5580656528473,154.99092984199524
1656188189.976,1003.0,15.71,211.5689480304718,191.89741683006287
1656188370.769,1004.0,18.44,180.54476070404053,161.5247507095337
1656221625.575,1005.0,0.24,164.12209725379944,140.1365020275116
1656228832.584,1006.0,0.23,7206.809714794159,7186.615147590637
1656236039.274,1007.0,0.38,7206.149640321732,7188.455568552017
1656243245.213,1008.0,1.05,7205.596087217331,7200.046541452408
1656250452.289,1009.0,0.49,7206.5979154109955,7194.864388465881
1656257658.128,1010.0,0.78,7205.507195949554,7196.276979446411
1656264865.347,1011.0,0.62,7206.594582796097,7192.054966926575
1656272072.464,1012.0,0.24,7206.5638971328735,7193.789112329483
1656279279.387,1013.0,0.21,7206.519073486328,7196.189461708069
1656286486.485,1014.0,0.16,7206.585541963577,7196.47062587738
1656293695.317,1015.0,0.15,7208.366274595261,7188.473849534988
1656300902.351,1016.0,0.13,7206.483211040497,7186.476535797119
1656308109.413,1017.0,0.13,7206.491264343262,7190.800701141357
1656315316.458,1018.0,0.13,7206.53573346138,7196.309271812439
1656322523.509,1019.0,0.16,7206.562754869461,7189.624678850174
1656329730.476,1020.0,0.27,7206.600081443787,7196.914672136307
1656336937.282,1021.0,0.28,7206.252590417862,7196.3428654670715
1656341808.756,1022.0,0.32,4871.107885122299,4860.799763202667
1656361440.358,1023.0,0.25,7206.539995193481,7192.954412460327
1656368649.43,1024.0,0.2,7208.487040519714,7195.424110174179
1656375856.414,1025.0,0.15,7206.544940471649,7186.156220674515
1656383063.479,1026.0,0.13,7206.546498537064,7196.320381641388
1656390270.365,1027.0,0.14,7206.5014271736145,7193.405670881271
1656397477.189,1028.0,0.13,7206.285653114319,7186.447105169296
1656404684.332,1029.0,0.13,7206.665599107742,7186.03120970726
1656411892.544,1030.0,0.19,7207.592917442322,7199.707946538925
1656419099.279,1031.0,0.36,7206.372241735458,7199.093644857407
